reference;name;description;price;image
23;CANNELLE (écorce) - Huile essentielle BIO;Une épice redoutable contre les infections ! La cannelle est une épice connue et reconnue pour aggrémenter tous les plats par son odeur chaude et sucrée. Son huile essentielle possède des vertus très intéressantes pour lutter contre tous types d'infections. Bactéries, champignons, parasites responsables de gastro, verrue, mycose, vers, et acné ne font pas le poids face à cette huile essentielle puissante.  Turista, diarrhée infectieuse, vers.   Voie orale : 1 goutte sur un support à laisser fondre en bouche, 4 fois par jour jusqu'à amélioration.  Mycose, verrue. En application locale : 1 goutte pure sur l'infection 2 fois par jour pendant 3 semaines. A renouveler après 1 semaine de pause.;3,3;www.compagnie-des-sens.fr/665-home_default/cannelle-ecorce-huile-essentielle-bio.jpg
24;CÈDRE DE L'ATLAS - Huile essentielle BIO;La puissance du Cèdre au service de vos cheveux ! Le Cèdre, dont le nom signifie "puissance" en arabe, est un arbre qui a longtemps été réputé comme imputrescible grâce à l'abondance des molécules aromatiques qui le protègent. Son huile essentielle, obtenue par distillation du bois, possède des propriétés très spécifiques. Lipolytique, elle va favoriser la décomposition des corps gras et va donc être efficace contre la cellulite et les problèmes capillaires dus à des cheveux gras, abîmés...   Chute des cheveux, cheveux gras.   Voie cutanée : 5 gouttes dans une cuillère d'huile végétale sur le cuir chevelu, en massage, 1 heure avant le shampoing, à renouveler aussi longtemps que nécessaire, par cycles de 3 semaines maximum, avec une pause d'une semaine entre chaque cycle. Cellulite.Voie cutanée : 2 gouttes dans 8 gouttes d'huile végétale, appliquer matin et soir en massage sur les zones les plus touchées. Faire une semaine de pause au bout de 3 semaines d'utilisation et recommencer si besoin.;3,3;www.compagnie-des-sens.fr/873-home_default/cedre-de-l-atlas-huile-essentielle-bio.jpg
25;CISTE - Huile essentielle BIO; La plus puissante anti-hémorragique du marché !  Cette huile essentielle est plutôt onéreuse mais elle le mérite largement. Son efficacité n'est comparable à aucune autre pour stopper net les saignements de nez et les coupures. Ses propriétés sont également mises au service de la beauté pour lutter contre rides, vergetures et cicatrices.  Saignement de nez.Voie cutanée : 2 gouttes pures sur un mouchoir ou un tissu (attention pas de tissus qui peluchent) et introduisez délicatement une mèche dans la narine concernée, à chaque saignement. Coupure.Voie cutanée : 1 goutte sur la coupure, appliquer jusqu'à 4 fois par jour pendant 5 jours. Règles hémorragiques. Voie orale : 1 goutte dans une cuillère à café de miel ou sur un sucre, 5 fois par jour pendant 1 ou 2 jours. Rides.Voie cutanée : 1 goutte dans 4 gouttes d'huile végétale à appliquer sur le visage 2 fois par jour. Attention de ne pas mettre d'huile essentielle dans vos yeux !;13,8;www.compagnie-des-sens.fr/881-home_default/ciste-huile-essentielle-bio.jpg
26;CITRON - Huile essentielle BIO;L'huile essentielle de citron, un complément précieux pour l'organisme !  Qui ne connaît pas ce fruit piquant, coloré et parfumé qu'est le citron ? En plus d'agrémenter les plats avec sa note acidulée, il produit une huile essentielle qui possède de nombreuses vertus aussi bien en usage interne qu'en usage externe. Douce et bien tolérée, elle facilite la digestion et est donc particulièrement utilisée pour lutter contre le mal de transports des enfants et les nausées des femmes enceintes. De plus, c'est une aide précieuse en cas de régime et de cellulite.   Surpoids, cellulite. Voie orale : 2 gouttes sur un comprimé neutre à laisser fondre en bouche, 3 fois par jour en fin de repas, idéalement en cure de 3 semaines.  Nausées de la femme enceinte. Voie orale : 1 goutte dans une cuillère à café de miel ou sur un sucre ou un comprimé neutre et laisser fondre en bouche, première prise avant le lever puis renouvellement jusqu’à 5 fois dans la journée (seulement si nécessaire).  Mal des transports pour les enfants de - de 6 ans.Voie orale : 1 goutte dans une cuillère à café de miel ou sur un sucre ou un comprimé neutre et laisser fondre en bouche, 2 à 3 fois pendant la durée du trajet.;3,3;www.compagnie-des-sens.fr/683-home_default/citron-huile-essentielle-bio.jpg
28;CYPRÈS DE PROVENCE - Huile essentielle BIO;Un petit chat dans la gorge ? Le Cyprès est un arbre toujours vert à la taille élancée typique de notre belle région de Provence et de la région méditerranéene en général. Gardien des cimetières, il est aussi connu depuis l'Antiquité pour le parfum et les propriétés bienfaisantes de son bois. Son huile essentielle est particulièrement utilisée pour ses propriétés expectorantes et décongestionnantes veineuses. Elle sera donc toute indiquée pour les problèmes de gorge et de toux ainsi que pour lutter contre les problèmes de circulation comme la couperose et les jambes lourdes.    Extinction de voix, voix cassée. Voie orale : 2 gouttes sous la langue ou dans une cuillère à café de miel à plonger dans une infusion de thym, jusqu’à 3 fois par jour et jusqu’à amélioration. Toux sèche. Voie orale : 1 goutte dans une cuillère à café de miel à laisser fondre en bouche, 4 fois par jour jusqu’à disparition de la toux. Mémoire. Voie orale : 1 goutte déposée sur un comprimé neutre à laisser fondre en bouche, 3 fois par jour tant que besoin. Au bout de trois semaines d'utilisation, faire une pause d'une semaine. Pipi au lit (enfant). Voie cutanée : masser la plante des pieds et la colonne vertébrale avec 1 goutte dans 4 gouttes d’huile végétale le soir au coucher.;4,2;www.compagnie-des-sens.fr/885-home_default/cypres-de-provence-huile-essentielle-bio.jpg
29;ESTRAGON - Huile essentielle BIO;La plus antispasmodique du marché ! L'huile essentielle d'Estragon n'est pas seulement appréciée en cuisine mais également pour ses bienfaits thérapeutiques. Antispasmodique, anti-allergique et digestive, elle sera mise à profit pour lutter contre les allergies, la constipation et  contre tous les types de spasmes. Asthme (allergique), rhume des foins, allergie à la poussière.Voie orale : 1 goutte pure sur 1/2 sucre.Voie cutanée : 1 goutte dans 4 gouttes d'huile végétale en massage sur le plexus solaire. Renouveler ces deux applications tous les 1/4 d'heure jusqu'à disparition de la crise. Hoquet. Voie orale : 1 goutte pure sous la langue. Si nécessaire, renouveler 10 minutes plus tard par 1 goutte sur comprimé neutre. Règles douloureuses. Voie orale : 1 goutte pure sous la langue.Voie cutanée : 1 goutte dans 4 gouttes d'huile végétale en massage sur le ventre. À renouveler toutes les heures jusqu'à amélioration.;5,4;www.compagnie-des-sens.fr/920-home_default/estragon-huile-essentielle-bio.jpg
30;GAULTHÉRIE ODORANTE - Huile essentielle BIO;L'huile essentielle de Gaulthérie, solution aux douleurs articulaires et musculaires ! L'huile essentielle de Gaulthérie Odorante est connue pour son odeur très prononcée mais surtout pour son efficacité remarquable. Composée à plus de 95% de salicylate de méthyle, aux vertus anti-inflammatoires et antalgiques puissantes, c'est l'huile essentielle à avoir dans son sac de sport. Elle soulage immédiatement courbatures, tendinites et autres douleurs articulaires et musculaires.  Courbatures.Par voie cutanée : 2 gouttes dans 8 gouttes d'huile végétale en massage sur la zone touchée, renouvellement si nécessaire au bout d'1/4 d'heure. Tendinite.Par voie cutanée : 2 gouttes dans 8 gouttes d'huile végétale sur le tendon, 4 fois par jour, jusqu’à amélioration. Déchirure musculaire.Par voie cutanée : 3 gouttes dans 12 gouttes d'huile végétale sur la zone touchée, 3 fois par jour, jusqu’à amélioration. Foulure.Par voie cutanée : masser doucement avec 1 goutte dans 4 gouttes d'huile végétale sur la zone concernée, 4 fois par jour, jusqu’à amélioration. Rhumatismes, arthrose, arthrite, mal de dos.Par voie cutanée : 3 gouttes dans 12 gouttes d'huile végétale sur la zone touchée, 3 à 5 fois par jour, jusqu’à amélioration. Douleur du genou.Par voie cutanée : 2 gouttes pures sur le genou, 3 fois par jour, jusqu’à amélioration.;3,3;www.compagnie-des-sens.fr/718-home_default/gaultherie-odorante-huile-essentielle-bio.jpg
31;GENÉVRIER - Huile essentielle BIO;L'huile essentielle extra-drainante !  L'huile essentielle de Genévrier, composée principalement de monoterpènes, est l'huile essentielle anti-rétention d'eau par excellence. Elle est une aide précieuse pour l'organisme qui n'arrive plus à éliminer l'eau normalement. Elle est donc parfaitement indiquée en cas de rétention d'eau, de problèmes de cellulite ou d'infection urinaire. Rétention d’eau. Voie cutanée : masser les zones touchées avec 1 goutte d'huile essentielle dans 4 gouttes d'huile végétale, 2 fois par jour, jusqu’à amélioration. Détox.Voie orale : 1 goutte dans une cuillère à café d'huile d'olive, matin et soir avant le repas, en cure de 3 semaines idéalement.;5,1;www.compagnie-des-sens.fr/738-home_default/genevrier-huile-essentielle-bio.jpg
32;GÉRANIUM ROSAT - Huile essentielle BIO;L'huile essentielle qui rendra toute sa beauté à votre peau ! Sa douce odeur rosée et fruitée la place automatiquement dans les huiles essentielles parfaites pour les soins de beauté. Rides, acné, herpès, mycoses, vos problèmes de peau ne seront qu'un mauvais souvenir. Mais ce n'est pas tout ! C'est également l'huile essentielle de référence pour les personnes diabétiques !  Rides, peau fatiguée. Voie cutanée : 1 goutte dans 4 gouttes d'huile végétale sur la ride, 2 fois par jour, pendant trois semaines. Faire une pause d'une semaine et reprendre si nécessaire.  Tous types de dermatoses.Voie cutanée : 1 goutte dans 4 gouttes d'huile végétale sur les zones affectées, 2 fois par jour, jusqu’à amélioration.;6;www.compagnie-des-sens.fr/727-home_default/geranium-rosat-huile-essentielle-bio.jpg
33;Assortiment Essentiel;L'assortiment du débutantVous ne connaissez pas ou peu les huiles essentielles ? Vous voulez faire découvrir ces merveilles autour de vous ? L'assortiment Essentiel est fait pour vous ! Nous avons sélectionné les 5 huiles essentielles les plus couramment utilisées et reconnues pour leur efficacité... et puis aussi et surtout celles qu'on préfère.Ravintsara : l'antiviral le plus puissant, votre arme incontournable pendant l'hiver.Menthe Poivrée : le coup de fouet dont vous avez besoin chaque matin ! Idéal pour la gueule de bois et les migraines.Gaulthérie Odorante : la solution efficace en cas de courbatures, crampe, mal de dos et autres...Tea Tree : le désinfectant le plus puissant, indispensable pour les bobos, ou contre l'acné.Petit Grain Bigarade : l'antistress idéal, à utiliser sans modération ! Contenance : flacons de 5 mL.;17,7;www.compagnie-des-sens.fr/1975-home_default/assortiment-essentiel.jpg
34;MENTHE POIVRÉE - Huile essentielle BIO;La championne contre les migraines ! … et beaucoup d'autres maux !L'huile essentielle de Menthe Poivrée possède de nombreuses vertus intéressantes contre les problèmes du quotidien mais aussi contre d'autres plus sérieux. En plus d'être tonique, elle est excellente pour la digestion. Elle est d'ailleurs recommandée contre les nausées, la gastro-entérite et les digestions difficiles. Elle sera votre amie les lendemains de fête ! Et enfin, parler de la Menthe Poivrée n'est pas concevable sans évoquer la migraine : elle la calme efficacement et procure une agréable sensation de froid sur les zones douloureuses.Douleurs et migraines. Voie cutanée : 2 gouttes pures en massage sur les tempes et le front, dès que nécessaire. (Attention aux yeux !)Fatigue physique, mentale ou sexuelle, hypotension.Voie orale : 1 goutte pure sous la langue, 3 fois par jour, jusqu’à remise en forme.Nausées et vomissements, maux de transport (pour les enfants de + de 6 ans).Voie orale : 1 goutte pure sous la langue.En inhalation : respirer directement le flacon, dès que nécessaire.Digestion difficile, crises de foie, stimulation des organes d’élimination (foie, intestins et reins).Voie orale : 2 gouttes sur un sucre, à mélanger dans une infusion, après le repas, dès que nécessaire, en prise unique.Lendemains de fête.Voie orale : 1 goutte pure sous la langue.Voie cutanée : 1 goutte pure à masser sur les tempes, dès que nécessaire.Haleine fraîche.Voie orale : 1 goutte sur un comprimé neutre à laisser fondre en bouche.;3,3;www.compagnie-des-sens.fr/671-home_default/menthe-poivree-huile-essentielle-bio.jpg
35;RAVINTSARA - Huile essentielle BIO;L'huile essentielle de Ravintsara, LA référence contre les infections virales ! Parfaitement adaptée à toute la famille, l'huile essentielle de Ravintsara est la star du monde de l'aromathérapie ! Toute indiquée en cas d'infections touchant la sphère ORL, rhumes, otite, sinusite et bien d'autres ne lui résisteront pas. Son action antivirale et ses effets stimulants sur le système immunitaire sont en effet puissants et reconnus par tous les professionnels et adeptes des huiles essentielles. En malgache, ravintsara signifie "arbre aux bonnes feuilles", profitez donc dès maintenant de tous ses bienfaits ! Grippe, épidémies virales ORL. Voie cutanée : 3 gouttes dans le bas du dos, le long de la colonne vertébrale et sur le thorax, 4 à 5 fois par jour, jusqu’à amélioration.Voie orale : 1 goutte dans une cuillère à café de miel ou d’huile d’olive ou sur un sucre, 4 fois par jour, jusqu’à amélioration. Arrivée du froid, renforcement de l’immunité. Voie cutanée : 3 gouttes sur les poignets et respirer profondément, en prévention, une fois par jour, pendant les périodes à risques. Faire une pause d'une semaine après trois semaines d'utilisation.;3,9;www.compagnie-des-sens.fr/698-home_default/ravintsara-huile-essentielle-bio.jpg
